Table view
"Nama Mesin","Description"
"K1R1P01DP001","Tipping Station Minor 1"
"K1R2P01DP001","Tipping Station Minor 2"
"K1R2P01DP002","Tipping Station Honeydew"
"K1R3P01DP001","Dumping Station Sodium Bicarbonate"
"K1R4P01DP001","Tipping Station Minor 3 (Active)"
"K1R6P01DP001","Dumping Station Taurine"
"K1R7P01DP001","Dumping Station Citric Acid"
"K1R8P01DP002","Tipping Station Sucrose"
"K1T1P01","Batching  Station Sodium Bicarbonate 1"
"K1T2P01","Batching Station Sodium Bicarbonate 2"
"K1T3P01","Batching Station Minor 1"
"K1T4P01","Batching Station Minor Active"
"K1T5P01","Batching Station Minor 2"
"K1T6P01","Batching Station Minor 3"
"K1T7P01","Batching Station Citric"
"K1T8P01","Batching Station Sucrose"
"K1T9P01","Batching Station Material 4"
"K1G1P01","Discharge Station 1 (A)"
"K1G2P01","Discharge Station 2 (B)"
"K1G3P01","Discharge Station 3 (C)"
"K1G4P01","Discharge Station 4 (D)"
"K1G5P01","Discharge Station 5 (E)"
"K1G6P01","Discharge Station 6 (F)"
"K1G7P01","Discharge Station 7 (G)"
"K1G8P01","Discharge Station 8 (H)"
"K1G9P01","Discharge Station 9 (J)"
"K1G10P01","Discharge Station 10 (K)"
"K1G11P01","Discharge Station 11 (L)"
"K1G12P01","Discharge Station 12 (M)"
"K1G13P01","Discharge Station 13 (N)"
"K1G14P01","Discharge Station 14 (S)"
"K1G15P01","Discharge Station 15"
"K1G16P01","Discharge Station 16 (R)"
"K1G17P01","Discharge Station 17"
"K1G18P01","Discharge Station 18 (MF2)"
"K1G19P01","Discharge Station 19 (MF1)"
"K1G20P01","Discharge Station 20 (T)"
"K1G21P01","Discharge Station 21"
"K1G22P01","Discharge Station 22 (Flavor)"
"K1G23P01","Discharge Station 23 (P)"
"K1G24P01","Discharge Station 24"
"K1G25P01","Discharge Station 25"
"RVS A","Mesin Filling Sachet RVS 6 line (A)"
"RVS B","Mesin Filling Sachet RVS 6 line (B)"
"TOYO C","Mesin Filling Sachet TOYO 10 line (C)"
"RVS D","Mesin Filling Sachet RVS 6 line (D)"
"RVS E","Mesin Filling Sachet RVS 6 line (E)"
"RVS F","Mesin Filling Sachet RVS 6 line (F)"
"RVS G","Mesin Filling Sachet RVS 6 line (G)"
"RVS H","Mesin Filling Sachet RVS 6 line (H)"
"RVS J","Mesin Filling Sachet RVS 6 line (J)"
"RVS K","Mesin Filling Sachet RVS 6 line (K)"
"RVS L","Mesin Filling Sachet RVS 6 line (L)"
"RVS M","Mesin Filling Sachet RVS 6 line (M)"
"RVS N","Mesin Filling Sachet RVS 6 line (N)"
"RVS S","Mesin Filling Sachet RVS 6 line (S)"
"RVS T","Mesin Filling Sachet RVS 6 line (T)"
"RVS P","Mesin Filling Sachet RVS 6 line (P)"
"MF 1","Mesin Filling Stickpack (V)"
"MF 2","Mesin Filling Stickpack (W)"
