Table view
"Location","Nama Mesin / Peralatan","Nama Jalur / Part"
"Lantai 4 dan Lantai 3","Tipping Station","K1R1P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R2P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R2P01DP002"
"Lantai 4 dan Lantai 3","Tipping Station","K1R3P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R4P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R6P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R7P01DP001"
"Lantai 4 dan Lantai 3","Tipping Station","K1R8P01DP002"
"Lantai 4","Weighing Booth","WB 1"
"Lantai 4","Weighing Booth","WB 2"
"Lantai 4","Weighing Booth","WB 3"
"Lantai 4","Peralatan Timbang","Centong 1"
"Lantai 4","Peralatan Timbang","Centong 2"
"Lantai 4","Peralatan Timbang","Centong 3"
"Lantai 4","Peralatan Timbang","Centong 4"
"Lantai 4","Peralatan Timbang","Centong 5"
"Lantai 4","Peralatan Timbang","Centong 6"
"Lantai 4","Peralatan Timbang","Centong 7"
"Lantai 4","Peralatan Timbang","Centong 8"
"Lantai 4","Peralatan Timbang","Centong 9"
"Lantai 4","Peralatan Timbang","Centong 10"
"Lantai 4","Peralatan Timbang","Centong 11"
"Lantai 4","Peralatan Timbang","Centong 12"
"Lantai 4","Peralatan Timbang","Centong 13"
"Lantai 4","Peralatan Timbang","Centong 14"
"Lantai 4","Peralatan Timbang","Centong 15"
"","",""
